date,product,category,quantity,unit_price,region,customer_segment
2025-11-01,Yoga Mat,Sports,4,20.57,East,Wholesale
2025-11-01,Throw Pillow,Home & Kitchen,8,40.73,Central,Online
2025-11-01,Smart Watch,Electronics,2,41.1,North,Retail
2025-11-01,Yoga Mat,Sports,6,18.59,East,Online
2025-11-01,Air Fryer,Home & Kitchen,8,35.69,Central,Retail
2025-11-01,Laptop Stand,Electronics,7,43.16,Central,Online
2025-11-01,Bluetooth Speaker,Electronics,13,44.17,North,Retail
2025-11-02,Wool Sweater,Apparel,13,29.66,South,Retail
2025-11-02,Table Lamp,Home & Kitchen,13,35.31,South,Retail
2025-11-02,Air Fryer,Home & Kitchen,10,29.33,North,Retail
2025-11-02,Wireless Earbuds,Electronics,3,46.81,Central,Wholesale
2025-11-03,Sports Cap,Apparel,14,24.78,Central,Online
2025-11-04,Dumbbell Set,Sports,14,19.92,North,Retail
2025-11-04,Sunscreen SPF50,Beauty,14,11.4,North,Retail
2025-11-04,Bluetooth Speaker,Electronics,10,52.14,South,Retail
2025-11-04,Wool Sweater,Apparel,4,26.78,South,Wholesale
2025-11-05,Resistance Bands,Sports,7,19.0,West,Wholesale
2025-11-05,Running Shoes,Apparel,7,30.25,South,Online
2025-11-05,Denim Jacket,Apparel,4,24.72,West,Retail
2025-11-05,Resistance Bands,Sports,5,23.74,South,Retail
2025-11-05,Body Lotion,Beauty,4,15.16,North,Wholesale
2025-11-05,Coffee Maker,Home & Kitchen,10,30.91,East,Retail
2025-11-05,Bluetooth Speaker,Electronics,10,50.99,South,Retail
2025-11-05,Body Lotion,Beauty,6,16.44,West,Online
2025-11-05,Wireless Earbuds,Electronics,4,36.34,East,Retail
2025-11-05,Laptop Stand,Electronics,3,53.69,East,Retail
2025-11-06,Sunscreen SPF50,Beauty,6,15.42,South,Wholesale
2025-11-06,Sunscreen SPF50,Beauty,3,16.36,East,Retail
2025-11-06,Running Shoes,Apparel,5,30.33,North,Online
2025-11-06,Coffee Maker,Home & Kitchen,9,37.93,Central,Retail
2025-11-06,Cotton T-Shirt,Apparel,5,25.06,West,Retail
2025-11-06,Cutlery Set,Home & Kitchen,9,33.56,North,Online
2025-11-06,Face Serum,Beauty,12,13.81,East,Wholesale
2025-11-07,Running Belt,Sports,4,25.76,East,Retail
2025-11-07,Dumbbell Set,Sports,3,22.37,East,Wholesale
2025-11-07,Smart Watch,Electronics,4,51.45,East,Retail
2025-11-07,Bluetooth Speaker,Electronics,12,45.71,North,Wholesale
2025-11-07,Shampoo Bar,Beauty,10,11.24,South,Retail
2025-11-07,Lip Balm Set,Beauty,11,17.1,West,Wholesale
2025-11-07,Cutlery Set,Home & Kitchen,3,39.32,South,Online
2025-11-07,Bluetooth Speaker,Electronics,6,58.72,South,Online
2025-11-07,Water Bottle,Sports,3,18.65,Central,Retail
2025-11-07,Lip Balm Set,Beauty,5,14.34,North,Wholesale
2025-11-08,Dumbbell Set,Sports,8,23.81,Central,Retail
2025-11-08,Body Lotion,Beauty,7,,West,Online
2025-11-08,Wool Sweater,Apparel,2,27.25,Central,Wholesale
2025-11-08,Wool Sweater,Apparel,6,23.02,West,Wholesale
2025-11-08,Sunscreen SPF50,Beauty,12,16.02,East,Online
2025-11-08,Denim Jacket,Apparel,13,21.27,South,Wholesale
